text,emotion,emotion_fixed
Some bastard tried to mug me. I handled it.,anger,anger
"You in it with Kirk?! Every man, woman and rat in Heywood knows he's a fuckin' shark.",anger,anger
Plan sounds shaky as fuck.,anger,anger
"Er, two years gone by, not much has changed.",neutral,sadness
One more fuckin' word…,anger,anger
"And I don't know you, which means you're worth shit around here and capable of even less. Well? Anything else?",anger,fear
Hm… Looks like this'll be a cool breeze.,joy,joy
What the…?,neutral,neutral
You know fuck all about me.,anger,anger
"Wait, Welles… like Mama Welles. Heh, thought I recognized the name.",neutral,surprise
"Bug, ya could at least try to be… nice.",joy,joy
"Shit, where the hell's our target?!",anger,fear
Jesus fuckin' Christ…,anger,fear
She's in a tub of ice… crammed in with another. Fuck - like slabs of meat!,anger,anger
Heard people who live through shit like this get panic attacks. ‘Thout ever knowin' why… You'll be sippin' a glass of ice-cold water and suddenly your hand's shakin'.,fear,fear
"Aw, fuck!",neutral,neutral
"Jackie, airhypo! Fuck, this is bad!",anger,anger
"I think… Holy shit, it worked!",anger,fear
"Fuckin' drive, Jackie!",anger,anger
It's OK - It can wait. Let's just focus on gettin' home.,neutral,surprise
So you can be nice when you feel like it.,joy,joy
"If anyone was watchin' and givin' a damn, I'd have half the city's underworld and half its corps on my ass already.",anger,anger
"Vik, shit's gettin' real. Got a job from Dex DeShawn - hittin' the major leagues. Need tech that can perform.",anger,fear
"Kiroshi? Whoa! Vik, nothin' tops that on the market.",surprise,surprise
"Shit, Viktor, not bad. I dunno what to say.",anger,fear
"Miss it, don't you.",sadness,sadness
Know what? Seems like you're the only person in Night City who's happy with his lot.,joy,joy
"Bespoke - damn, that sounds promising. I get it, I'm in.",anger,anger
"Ah, stories of the golden days. Inevitable demise and the inevitable drink over sweet memories.",neutral,joy
"You writin' Dex's bio? Hate to disappoint, but I just don't know much.",anger,fear
"Shit, buzz Dex right now if you're gettin' cold feet - I can wait.",anger,fear
Wait - neutral NetWatch is mixed up in this?,neutral,neutral
"We're talkin' about data Yorinobu snuck out of Arasaka. What's more, he wants to pass it onto NetWatch. Sounds pretty damn relevant to me.",anger,anger
OK. Hit me. Just promise me it won't hurt.,sadness,sadness
"That flash of… intense shock. Can still feel it, I remember… Fuck, that last second… Ya coulda warned me how much it hurts to die.",sadness,anger
Unbelievable. Seriously. Like it was happening right next to me.,surprise,surprise
"Huh, hella nice.",joy,joy
Evelyn… She… I felt her fear.,fear,fear
"Intel on Yorinobu, the chip, the BD from Konpeki… Winds are right, plan's perfect. A job like this comes one in a million.",neutral,joy
I wanna know if you're really in control here. That you're not sending me into the sorta shit I can't wade out of.,anger,fear
You wanna fuck over our fixer. I knew something was up.,anger,anger
Calm the fuck down! I just wanna talk!,anger,anger
Doubt shit can go smoothly. This is Maelstrom.,anger,fear
Just open the fuckin' door.,anger,anger
Ups 'dorphs and adrenaline to the point you feel no pain. Trip's so intense it verges on psychosis. Corps fed it to their fighting legions during the Corp Wars.,sadness,sadness
"Fuck Brick, then. Let's cut a new deal.",anger,anger
"Great, be there in no time.",joy,joy
"Couldn't've gone better. In fact, she liked me so much, she made me another offer.",neutral,sadness
"Thought you'd be pissed, that you'd lose it.",anger,anger
Wouldn't hurt to take a peek inside…,sadness,sadness
Ehh fuck 'im! Why do I need to care about some bougie prick and his street-kid fantasies?,anger,anger
We wait…,neutral,neutral
Fuck…!,neutral,neutral
"Fuck! Fuckin' major leagues! Happy now, Jackie?!",joy,joy
What the hell are you talkin' about?,neutral,neutral
"Tell Bug, why don'tcha. Maybe she'd still be alive if we hadn't been so gung-fuckin'-ho!",anger,anger
We'll have problems if you don't fuckin' DRIVE!,anger,anger
Fuck your liberty! Do what I say!,anger,fear
I’ll fucking kill you!,anger,anger
Argh! Fuck…,neutral,neutral
Fuck… Uuugh!,neutral,neutral
Fuck…,neutral,neutral
"Dunno, Vik… ears're ringin'. And I'm seein' shit…",anger,fear
"Blinding lights. It's loud. I'm on stage and almost can't breathe. I'm so damn full of… hatred. Then I let it all out into a mic. And I realize it didn't help, I don't feel any better. And then, promise not to laugh. I plant a bomb in Arasaka Tower.",anger,anger
"They killed me, Vik.  Never been so afraid.",fear,fear
"Fuck, I remember this thing, saw it on TV… What was that stupid slogan? Soul something?",anger,fear
"Vik, you've always come through for me. If there's nothing you can do to help me, then… well, what the hell do I do? Tell me, please. Vik?",neutral,neutral
"And then he died… and I thought I was gonna die… with him, in my sleep.",neutral,sadness
"The fuck I need pills for? Oughta just stick a gun in my mouth, pull the trigger.",anger,anger
"Misty, wait. Umm… about Jackie…",neutral,surprise
"Misty, wait. Umm… about Jackie… I'm so fucking sorry Jack's not here anymore.",sadness,sadness
Fuckin' ghost off!,anger,anger
Fuck!,neutral,neutral
No! Wait! Ugh…,neutral,surprise
"See you never, asshole.",neutral,anger
I'm… gonna kill you.,neutral,anger
Ugh. Fuck me…,anger,anger
Just answered your own question 'bout where Evelyn is - long gone.,neutral,sadness
"Sorry I couldn't be of any help. Don't have any time to lose, so…",sadness,sadness
"Tom's all right. Not afraid to speak his mind, that's all.",fear,fear
"Go fuck yourself, dickwipe!",anger,anger
"You're the ghost of Christmas past, asshole. Any Friends you had're either dead or so old their memory's gone.",neutral,anger
So you fuckin' know Rogue. What do I say to her? Got a talking brain tumor claims it's her old friend Johnny?,anger,fear
"You here alone? This is not exactly the safest neighborhood in town, Misty.",sadness,sadness
Nice still. It's gotta be Jackie's dad.,joy,joy
"Takin' this, yeah. Perfect for Jackie.",neutral,joy
Seriously? Meanin'?,neutral,neutral
"I, uh… often think back to the first time me and Jack met. It all started when he put a heater to my head. Then some badges showed up. Beat the shit out of us both - it's half my fault, half his. And we hightailed it out together. Half an hour later… well, we're eatin' dinner at Mama Welles'. Turned out to have more in common than we thought - principles. Jackie Welles. Best friend you could ask for, loyal to a fault. Once he set his mind on something, he was ready to die to achieve it. He once told me, ""Bróder, the one thing we can't do is be afraid of others."" He kept Heywood in his heart, always. It made him who he was. But most importantly… Jackie loved life and had no fear. Heart on his sleeve, he didn't overthink things. He just went for it. Thought he was bulletproof and… and that he'd become legend at the Afterlife. And ultimately, he did what he set out to do - shit in the shoes of some powerful people. And if he's watching, I bet just about now he's flippin' 'em all the bird.",fear,fear
I'm gonna miss him. Already do.,sadness,sadness
"You're not alone in thinking me dead… Thought it was game over for me, too.",sadness,sadness
Someone's in a great mood.,joy,joy
"Oh, so what you meant to say was you're full of shit. Got it.",anger,fear
Death is death is death. You're gone - game over.,neutral,sadness
"What I've been through - tough to move on from that. Death was something that happened to other people - hell, that I DEALT to others. Now my number'll be up. Wasn't enough. I died once. Have to go and do it again.",anger,sadness
And everyone's cool with that?,neutral,neutral
Oh well… Can't say I didn't try playing nice.,joy,joy
"All her shit's in it, though. Must've left in a hurry.",anger,fear
"Gah, fuck!",neutral,neutral
Jesus… the fuck do you want from me?,anger,fear
Lemme alone.,neutral,neutral
"To live life to the fullest? See the northern lights, run with the mechbulls or with gazelles on a safari?",neutral,neutral
You fuckin' asshole…,anger,anger
"Jack, I got no clue where you are, happened to you… It all got so fucked up. If you… If you're there somewhere… Fuck, I… What'm I doing?",anger,fear
You either get your shit kicked in for being slow or for being a nosy prick.,anger,fear
Glad to see a familiar face.,joy,joy
"My friend here? She's in really sorry shape. Couldn't let us cut in front, just this once?",neutral,neutral
Can't believe she finds the spares to keep 'em runnin'.,neutral,surprise
"Can't beat that rich synthcoff aroma - cheap shit. Cold, too. Mmmhm. Buck-A-Slice. Scav woman. Huh, who knew that 'sides citoppin' people up they were scrollin' XBD… Poor fucker. Electric Corp patch on the coveralls. Scav - gotta be. No one else with that kind of fashion sense. Ordered recently. Coffee was cold… like, from the day before. Pizza looked fresh, though.",anger,fear
Radio's turned way up. Probably to drown out the screamin'. Heard shit like that before. Sounds like scavs to me. Here we go. Old Electric Corp power plant in Charter Hill. Gotta make do with that for now. Nothin' else to garner from this scroll.,anger,fear
Mhm. Glad you managed to salvage 'em in the first place.,joy,joy
Her only job was to record a virtu. Pretty damn amazing she managed to organize a full-blown heist. And swipe the biochip from under her boss' noses.,anger,anger
know what? Seems like you're the only person in Night City who's happy with his lot.,joy,joy
Finally scrounged up enough eddies to pay you back in full.,neutral,joy
Not afraid that tragedy will strike you?,fear,fear
Oh fuck…!,neutral,neutral
Fwoo… fuck.,neutral,neutral
"Wait, so you found other recordings?",neutral,neutral
"I zeroed Woodman. Didn't plan on it - just how the chips landed. Glad I did, though.",joy,joy
What the hell happened? Look close to awful.,anger,surprise
Willing finally to give me the spec on 'im?,neutral,neutral
"Sorry, but… this gonna take much longer?",neutral,neutral
No way this was gonna work.,neutral,surprise
You my contact? Someone finally gonna tell me about this job?,neutral,neutral
You screenin' me? See if I came alone? What kinda chrome I got? This some kinda test?,neutral,neutral
Who died? Got somethin' to do with the job?,neutral,neutral
"Shit luck, right? All those, an' I don't know yours…",anger,fear
Nah. You guys aren't exactly great at rollin' out the welcome mat for outsiders.,joy,joy
Could fuckin' tell me what you plan to do first.,anger,fear
Y'know what? Fuck this.,anger,fear
"Uh-huh, ‘cept then I found out you need me to be a bullet trap on enemy turf. That means my fee's just gone up.",neutral,sadness
"Wait, who was that?",neutral,neutral
"OK, no more fuckin' tangents. Fess up — who are you?",anger,anger
"Sorry, don't work with corps.",sadness,sadness
"Oh, Placide is gonna be pissed...",anger,anger
Not about to let this shit lie.,anger,fear
Perfect. 'Cause I gotta talk to her.,neutral,joy
"Did what you wanted, 'cept 'stead of gettin' my circuits acid-fried, I'm still breathin'. That so damn wrong?",neutral,neutral
"Heh, biochip's not for sale. And you're not rippin' It outta me. Thing was in shit shape already before I strolled into the GIM.",anger,fear
Seriously? Haven't done enough for you already?,neutral,neutral
'Cause if you fuck up you're left empty-handed? That it?,anger,anger
Construct's active. Lets me and Johnny shoot the shit every now and then.,anger,fear
"Whoa, what? You said nothin' 'bout breakin' through the Blackwall.",surprise,surprise
This is it? Seriously?,neutral,neutral
Alt. You always treat her like shit?,anger,fear
What the hell's that mean?,neutral,neutral
"Fuck... Might've guessed. Never had any intention of helpin' me, did ya?",anger,anger
What the hell's goin' on?!,anger,surprise
"Aa, didn't make it any worse. OK, I get it, you hate Johnny's guts. But what about me?",neutral,neutral
Interesting... Brigitte claied she alone could help me.,sadness,sadness
"No, waste of time, waste of breath. Thank fuck my biz with you is done. Want nothin' to do with ya.",anger,anger
"Pisses me off that our memories blend, don't have my own anymore. Chip's the worst thing to ever fuckin’ happen to me.",anger,anger
"An arrogant asshole's no small problem, but it ain't my biggest. Dyin' is.",neutral,anger
You afraid of death? You afraid of death?,fear,fear
"Honestly, I'm scared of the day I'll start seeing your memories as my own.",fear,fear
"Whole world used to revolve around Silverhand. Now, no one gives a shit.",anger,fear
"Know what? Seems to me you need to have a nemesis, at all times. Ideally a crazy powerful one to feed your ego... and the've gotta be practically unbeatable - to justify a suicide run.",surprise,fear
"Actually, that's what I am, that kind of nemesis - I'll decide your fate, fuck all you can do.",anger,fear
"Ah, there it is - the crusade. Get to Mikoshi, smash the system.",sadness,joy
Need a fixer. Got somethin' that can't wait.,neutral,surprise
"They knew the risks. All sorts of shit happens - to all sorts of people. Even to the best. To you, too, Rogue. Arasaka Tower... 'member? Who'd you lose back then? Johnny something...",anger,fear
"U-huh. And if I don't have the scratch? It's ""fuck off and have a nice day""?",joy,joy
Mhm. No way to 'jack the transport without the NCPD picking up on it.,neutral,surprise
She run into a hitch?,neutral,neutral
"Gotta give yourself time to grieve, Judy. Experience all its stages, feel them, let employ out. Shock, anger, depression…",anger,surprise
"Call me a murderer? You're right - I killed Woodman. I'd do it again in heartbeat. And if I'd known what he did to Evelyn when she needed help, I wouldn't've have gone so easy on him.",neutral,sadness
Fuck me. You always on the warpath?,anger,anger
"Fine. Know where to find the cargo and your car. But you go alone, you wont get ‘em back. And you could lose something else besides... So let's figure something out.",sadness,sadness
Nice ride. Lots of space. Practical.,joy,joy
"Wait, Nash is Raffen?",neutral,neutral
Shit.,neutral,neutral
But seriously - didn't realize Nash was Raffen?,neutral,neutral
Now we wait.,neutral,surprise
"Really, really hard to miss.",sadness,sadness
Sounds great.,neutral,joy
"There. Couldn't wait another minute, could ya?",neutral,neutral
"Dunno about you, but I'd rather you kept your word and things'd be cool between us. Are we all right?",neutral,neutral
"If there's one thing I've learned in Night City, it's that sometimes revenge is not sweet. Always stand to lose more than you might gain.",neutral,joy
Mean to say she used to be sweet and alluring?,neutral,neutral
Mean to say she used to be sweet and alluring?,neutral,neutral
Mean to say she used to be sweet and alluring?,neutral,neutral
"Just, um... Ehm, glad to have met you. Heh, so I thought....",joy,joy
"Or wait, scratch that. Rogue, Nash, the Raffens...",neutral,surprise
"Huh, antennas run all the way down the interstate...",neutral,fear
"Agh shit... Ughh... ngh... fooo... Ooof... c'mon... breathe...agh... Shit! Think we mighta overdone it, Panam!",anger,fear
Blastin' shit - 'zactly what the doc ordered.,anger,fear
"It's quiet. The hum of the city, people's voices, the smells... It's all gone. Wind just intensifies it. Think I forgot quiet exists.",neutral,sadness
Panam! The engines are still runnin'. Fuck! They're gettin' away!,anger,anger
No way it stays in the air after a blast like that.,neutral,surprise
I - I'm sorry. Your clan?,neutral,neutral
"No. You stay in the car. Sorry, but you're just gonna slow me down.",sadness,sadness
"Panam, hate to break it to ya, but you're hurt. Wait in the car. I'll try and take out the launcher.",sadness,anger
"You don't see the shit you're in?! You shoot him, and a millisec later you'll eat lead, too!",anger,fear
Panam! Oh shit...,anger,fear
"Scorpion, the rest... I'm sorry we didn't get here sooner.",sadness,sadness
"I just think you're a little too trigger-happy, Panam. Should think before you shoot. First you wanted to kill Nash, now the pilot...",joy,joy
"Sorry about your people, but I need to keep movin'.",sadness,sadness
"Ah, so that's what this is? Just paying your debts?",neutral,neutral
"You even get any customers out here? Shit, anyone even drive this way?",anger,fear
"Panam was just helpin' me. It was my doin’, my fault that AV got hit. Without me, Scorpion and his people wouldn't have gone out to grab it. That's the truth.",neutral,sadness
"And it was rare as fuck and cost a fortune, yeah.",anger,anger
How exactly was this new version supposed to work? Were you planning to have the engram kick people out of their own bodies? Is that shit by design?,anger,fear
"Yeah, yeah, great your tech works. Now get it out of me.",joy,joy
Whoa. We just met. Haven't built up that sorta trust yet.,surprise,surprise
"Wait, you said the project was in the trial phase. You don't actually know how it'll end.",neutral,surprise
"He's got a few questions of his own for you. You play nice, he might even save your ass.  I’m almost done.  The blueprints.",joy,joy
Fuck...!,neutral,neutral
"Blah blah blah, fuck Arasaka, blah blah, smash Mikoshi.",anger,anger
What was it like? When you died?,neutral,neutral
"They fuckin' around with the human mind, consciousness.",anger,anger
"Want me to throw Yorinobu under the bus in front of Arasaka top brass? Call me crazy, but that sounds like fuckin' suicide.",anger,anger
Fuck..,neutral,neutral
Fuck…,neutral,neutral
"Dunno, Vik… ears're ringin'. And I'm seein' shit…",anger,fear
"Blinding lights. It's loud. I'm on stage and almost can't breathe. I'm so damn full of… hatred. Then I let it all out into a mic. And I realize it didn't help, I don't feel any better. And then, promise not to laugh. I plant a bomb in Arasaka Tower.",anger,anger
"They killed me, Vik.  Never been so afraid.",fear,fear
"Fuck, I remember this thing, saw it on TV… What was that stupid slogan? Soul something?",anger,fear
"Vik, you've always come through for me. If there's nothing you can do to help me, then… well, what the hell do I do? Tell me, please. Vik?",neutral,neutral
"And then he died… and I thought I was gonna die… with him, in my sleep.",neutral,sadness
"The fuck I need pills for? Oughta just stick a gun in my mouth, pull the trigger.",anger,anger
"Misty, wait. Umm… about Jackie…",neutral,surprise
"Misty, wait. Umm… about Jackie… I'm so fucking sorry Jack's not here anymore.",sadness,sadness
Fuckin' ghost off!,anger,anger
Fuck!,neutral,neutral
No! Wait! Ugh…,neutral,surprise
"See you never, asshole.",neutral,anger
I'm… gonna kill you.,neutral,anger
Ugh. Fuck me…,anger,anger
Just answered your own question 'bout where Evelyn is - long gone.,neutral,sadness
"Sorry I couldn't be of any help. Don't have any time to lose, so…",sadness,sadness
"Tom's all right. Not afraid to speak his mind, that's all.",fear,fear
"Go fuck yourself, dickwipe!",anger,anger
"You're the ghost of Christmas past, asshole. Any Friends you had're either dead or so old their memory's gone.",neutral,anger
So you fuckin' know Rogue. What do I say to her? Got a talking brain tumor claims it's her old friend Johnny?,anger,fear
"You here alone? This is not exactly the safest neighborhood in town, Misty.",sadness,sadness
Nice still. It's gotta be Jackie's dad.,joy,joy
"Takin' this, yeah. Perfect for Jackie.",neutral,joy
Seriously? Meanin'?,neutral,neutral
"I, uh… often think back to the first time me and Jack met. It all started when he put a heater to my head. Then some badges showed up. Beat the shit out of us both - it's half my fault, half his. And we hightailed it out together. Half an hour later… well, we're eatin' dinner at Mama Welles'. Turned out to have more in common than we thought - principles. Jackie Welles. Best friend you could ask for, loyal to a fault. Once he set his mind on something, he was ready to die to achieve it. He once told me, ""Bróder, the one thing we can't do is be afraid of others."" He kept Heywood in his heart, always. It made him who he was. But most importantly… Jackie loved life and had no fear. Heart on his sleeve, he didn't overthink things. He just went for it. Thought he was bulletproof and… and that he'd become legend at the Afterlife. And ultimately, he did what he set out to do - shit in the shoes of some powerful people. And if he's watching, I bet just about now he's flippin' 'em all the bird.",fear,fear
I'm gonna miss him. Already do.,sadness,sadness
"You're not alone in thinking me dead… Thought it was game over for me, too.",sadness,sadness
Someone's in a great mood.,joy,joy
"Oh, so what you meant to say was you're full of shit. Got it.",anger,fear
Death is death is death. You're gone - game over.,neutral,sadness
"What I've been through - tough to move on from that. Death was something that happened to other people - hell, that I DEALT to others. Now my number'll be up. Wasn't enough. I died once. Have to go and do it again.",anger,sadness
And everyone's cool with that?,neutral,neutral
Oh well… Can't say I didn't try playing nice.,joy,joy
"All her shit's in it, though. Must've left in a hurry.",anger,fear
"Gah, fuck!",neutral,neutral
Jesus… the fuck do you want from me?,anger,fear
Lemme alone.,neutral,neutral
"To live life to the fullest? See the northern lights, run with the mechbulls or with gazelles on a safari?",neutral,neutral
You fuckin' asshole…,anger,anger
"Jack, I got no clue where you are, happened to you… It all got so fucked up. If you… If you're there somewhere… Fuck, I… What'm I doing?",anger,fear
You either get your shit kicked in for being slow or for being a nosy prick.,anger,fear
Glad to see a familiar face.,joy,joy
"My friend here? She's in really sorry shape. Couldn't let us cut in front, just this once?",neutral,neutral
Can't believe she finds the spares to keep 'em runnin'.,neutral,surprise
"Can't beat that rich synthcoff aroma - cheap shit. Cold, too. Mmmhm. Buck-A-Slice. Scav woman. Huh, who knew that 'sides citoppin' people up they were scrollin' XBD… Poor fucker. Electric Corp patch on the coveralls. Scav - gotta be. No one else with that kind of fashion sense. Ordered recently. Coffee was cold… like, from the day before. Pizza looked fresh, though.",anger,fear
Radio's turned way up. Probably to drown out the screamin'. Heard shit like that before. Sounds like scavs to me. Here we go. Old Electric Corp power plant in Charter Hill. Gotta make do with that for now. Nothin' else to garner from this scroll.,anger,fear
Mhm. Glad you managed to salvage 'em in the first place.,joy,joy
Her only job was to record a virtu. Pretty damn amazing she managed to organize a full-blown heist. And swipe the biochip from under her boss' noses.,anger,anger
know what? Seems like you're the only person in Night City who's happy with his lot.,joy,joy
Finally scrounged up enough eddies to pay you back in full.,neutral,joy
