text,emotion,emotion_fixed
Not afraid that tragedy will strike you?,fear,fear
Oh fuck…!,neutral,neutral
Fwoo… fuck.,neutral,neutral
"Wait, so you found other recordings?",neutral,neutral
"I zeroed Woodman. Didn't plan on it - just how the chips landed. Glad I did, though.",joy,joy
What the hell happened? Look close to awful.,anger,surprise
Willing finally to give me the spec on 'im?,neutral,neutral
"Sorry, but… this gonna take much longer?",neutral,neutral
No way this was gonna work.,neutral,surprise
You my contact? Someone finally gonna tell me about this job?,neutral,neutral
You screenin' me? See if I came alone? What kinda chrome I got? This some kinda test?,neutral,neutral
Who died? Got somethin' to do with the job?,neutral,neutral
"Shit luck, right? All those, an' I don't know yours…",anger,fear
Nah. You guys aren't exactly great at rollin' out the welcome mat for outsiders.,joy,joy
Could fuckin' tell me what you plan to do first.,anger,fear
Y'know what? Fuck this.,anger,fear
"Uh-huh, ‘cept then I found out you need me to be a bullet trap on enemy turf. That means my fee's just gone up.",neutral,sadness
"Wait, who was that?",neutral,neutral
"OK, no more fuckin' tangents. Fess up — who are you?",anger,anger
"Sorry, don't work with corps.",sadness,sadness
"Oh, Placide is gonna be pissed...",anger,anger
Not about to let this shit lie.,anger,fear
Perfect. 'Cause I gotta talk to her.,neutral,joy
"Did what you wanted, 'cept 'stead of gettin' my circuits acid-fried, I'm still breathin'. That so damn wrong?",neutral,neutral
"Heh, biochip's not for sale. And you're not rippin' It outta me. Thing was in shit shape already before I strolled into the GIM.",anger,fear
Seriously? Haven't done enough for you already?,neutral,neutral
'Cause if you fuck up you're left empty-handed? That it?,anger,anger
Construct's active. Lets me and Johnny shoot the shit every now and then.,anger,fear
"Whoa, what? You said nothin' 'bout breakin' through the Blackwall.",surprise,surprise
This is it? Seriously?,neutral,neutral
Alt. You always treat her like shit?,anger,fear
What the hell's that mean?,neutral,neutral
"Fuck... Might've guessed. Never had any intention of helpin' me, did ya?",anger,anger
What the hell's goin' on?!,anger,surprise
"Aa, didn't make it any worse. OK, I get it, you hate Johnny's guts. But what about me?",neutral,neutral
Interesting... Brigitte claied she alone could help me.,sadness,sadness
"No, waste of time, waste of breath. Thank fuck my biz with you is done. Want nothin' to do with ya.",anger,anger
"Pisses me off that our memories blend, don't have my own anymore. Chip's the worst thing to ever fuckin’ happen to me.",anger,anger
"An arrogant asshole's no small problem, but it ain't my biggest. Dyin' is.",neutral,anger
You afraid of death? You afraid of death?,fear,fear
"Honestly, I'm scared of the day I'll start seeing your memories as my own.",fear,fear
"Whole world used to revolve around Silverhand. Now, no one gives a shit.",anger,fear
"Know what? Seems to me you need to have a nemesis, at all times. Ideally a crazy powerful one to feed your ego... and the've gotta be practically unbeatable - to justify a suicide run.",surprise,fear
"Actually, that's what I am, that kind of nemesis - I'll decide your fate, fuck all you can do.",anger,fear
"Ah, there it is - the crusade. Get to Mikoshi, smash the system.",sadness,joy
Need a fixer. Got somethin' that can't wait.,neutral,surprise
"They knew the risks. All sorts of shit happens - to all sorts of people. Even to the best. To you, too, Rogue. Arasaka Tower... 'member? Who'd you lose back then? Johnny something...",anger,fear
"U-huh. And if I don't have the scratch? It's ""fuck off and have a nice day""?",joy,joy
Mhm. No way to 'jack the transport without the NCPD picking up on it.,neutral,surprise
She run into a hitch?,neutral,neutral
"Gotta give yourself time to grieve, Judy. Experience all its stages, feel them, let employ out. Shock, anger, depression…",anger,surprise
"Call me a murderer? You're right - I killed Woodman. I'd do it again in heartbeat. And if I'd known what he did to Evelyn when she needed help, I wouldn't've have gone so easy on him.",neutral,sadness
Fuck me. You always on the warpath?,anger,anger
"Fine. Know where to find the cargo and your car. But you go alone, you wont get ‘em back. And you could lose something else besides... So let's figure something out.",sadness,sadness
Nice ride. Lots of space. Practical.,joy,joy
"Wait, Nash is Raffen?",neutral,neutral
Shit.,neutral,neutral
But seriously - didn't realize Nash was Raffen?,neutral,neutral
Now we wait.,neutral,surprise
"Really, really hard to miss.",sadness,sadness
Sounds great.,neutral,joy
"There. Couldn't wait another minute, could ya?",neutral,neutral
"Dunno about you, but I'd rather you kept your word and things'd be cool between us. Are we all right?",neutral,neutral
"If there's one thing I've learned in Night City, it's that sometimes revenge is not sweet. Always stand to lose more than you might gain.",neutral,joy
Mean to say she used to be sweet and alluring?,neutral,neutral
Mean to say she used to be sweet and alluring?,neutral,neutral
Mean to say she used to be sweet and alluring?,neutral,neutral
"Just, um... Ehm, glad to have met you. Heh, so I thought....",joy,joy
"Or wait, scratch that. Rogue, Nash, the Raffens...",neutral,surprise
"Huh, antennas run all the way down the interstate...",neutral,fear
"Agh shit... Ughh... ngh... fooo... Ooof... c'mon... breathe...agh... Shit! Think we mighta overdone it, Panam!",anger,fear
Blastin' shit - 'zactly what the doc ordered.,anger,fear
"It's quiet. The hum of the city, people's voices, the smells... It's all gone. Wind just intensifies it. Think I forgot quiet exists.",neutral,sadness
Panam! The engines are still runnin'. Fuck! They're gettin' away!,anger,anger
No way it stays in the air after a blast like that.,neutral,surprise
I - I'm sorry. Your clan?,neutral,neutral
"No. You stay in the car. Sorry, but you're just gonna slow me down.",sadness,sadness
"Panam, hate to break it to ya, but you're hurt. Wait in the car. I'll try and take out the launcher.",sadness,anger
"You don't see the shit you're in?! You shoot him, and a millisec later you'll eat lead, too!",anger,fear
Panam! Oh shit...,anger,fear
"Scorpion, the rest... I'm sorry we didn't get here sooner.",sadness,sadness
"I just think you're a little too trigger-happy, Panam. Should think before you shoot. First you wanted to kill Nash, now the pilot...",joy,joy
"Sorry about your people, but I need to keep movin'.",sadness,sadness
"Ah, so that's what this is? Just paying your debts?",neutral,neutral
"You even get any customers out here? Shit, anyone even drive this way?",anger,fear
"Panam was just helpin' me. It was my doin’, my fault that AV got hit. Without me, Scorpion and his people wouldn't have gone out to grab it. That's the truth.",neutral,sadness
"And it was rare as fuck and cost a fortune, yeah.",anger,anger
How exactly was this new version supposed to work? Were you planning to have the engram kick people out of their own bodies? Is that shit by design?,anger,fear
"Yeah, yeah, great your tech works. Now get it out of me.",joy,joy
Whoa. We just met. Haven't built up that sorta trust yet.,surprise,surprise
"Wait, you said the project was in the trial phase. You don't actually know how it'll end.",neutral,surprise
"He's got a few questions of his own for you. You play nice, he might even save your ass.  I’m almost done.  The blueprints.",joy,joy
Fuck...!,neutral,neutral
"Blah blah blah, fuck Arasaka, blah blah, smash Mikoshi.",anger,anger
What was it like? When you died?,neutral,neutral
"They fuckin' around with the human mind, consciousness.",anger,anger
"Y'know what I always liked about nomads? Your taste, uh, no - your hunger for freedom. It's not easy to come by In Night City. The corps got their grubby claws in everything. And I just can't believe you'd hand them what you hold to be most precious.",neutral,surprise
"Yea-I, buhh... I-I'm sorry... Dunno what I was thinking...",sadness,sadness
Thought the Biotechnica contract had withered and died.,neutral,sadness
Saul wouldn't be quite so pissed if it weren't.,anger,anger
Zactly. You saved his life. You wanna fuck things up all over again now?,anger,anger
"Nobody's gonna notice you gone, back at camp?",neutral,neutral
You don't miss life in Night City?,neutral,neutral
"Yeah, took adjustment on my part, too. Though, never was completely alone.",sadness,sadness
"Convoy - got eyes and ears on it?  Agh, shit....",anger,fear
"Uh-huh. But you all can't wait to pack your asses into the Basilisk, huh?",neutral,neutral
"Well, fuck me...",anger,anger
Nice and cozy in here.,joy,joy
"Then I thrust you. If it's so mystical and shit, why the co-pilot? Extra support?",anger,fear
"Speaking of happy endings... Back there, in the Basilisk, I... I hope you don't regret what happened.",joy,joy
To tell you the whole truth... I'm afraid things won't be the same between us if I do.,fear,fear
"Yeah, well, he's not too happy about it either. Turns out we don't really mix. And it's getting worse.",joy,joy
What the... Argh!,surprise,surprise
"Nice work, Judy. Outdid yourself. If you were to sell that, heh. You'd be the richest Judy in the NUSA.",joy,joy
Hehh... happy now?,joy,neutral
"Agh, shit....",neutral,neutral
"Sounds great, thanks.",joy,joy
After a day's work of tuning hardcore smut? Wouldn't be surprised.,surprise,surprise
So glad you came.,joy,joy
"First time you've done anything like this. Just imagine you're doing what a doll does, just... different program. You're great at that. Any idea how I can get to Hiromi?",neutral,neutral
"You gonna breach security, get me in the penthouse? Thought I could do it, but... Sorry, it's not gonna happen. Gotta manage on your own.",sadness,sadness
"Not all girls have to be nice, Johnny. 'Sides, she's gotta deal with a gang, she shouldn't be.  Could've called off the odds you know. Would've been quicker, simpler",joy,joy
"You don’t have authority “yet”? Heh, you sound damn sure of yourself.",anger,anger
"Ah, don't be dramatic, Judy. There's a difference between bein' a gonk and believin' people wanna do good.",neutral,joy
"All right then, count me in. But I gotta warn ya - I look great in a wetsuit.",joy,joy
Look pretty damn fine in that wetsuit.,anger,anger
Why's this stand to be perfect?,neutral,neutral
Where you used to run as a kid. Where daily life grinded along. Can imagine it a bit.,neutral,fear
"You remember the Relic? The reason for the whole damn heist... Well, Johnny Silverhand's digitized psyche was on it, and well... his personality's seepin' into my mind, taking over. You could say his mind's overwriting mine.",anger,anger
Judy pisses you off - why? 'Cause she cares about people? And that reminds you you're a narcissistic asshole?,neutral,neutral
"You fuckin' blow if you can. Not about to leave her alone, middle of nowhere.",sadness,anger
"I'd pack up my shit and bail too, if I could... But... it's just not the right time.",anger,fear
Whoa... Askin' me to move in?,neutral,neutral
"Hate to interrupt, but...",anger,anger
It fuckin' worked!,anger,anger
"Well, sounds like a suicide run, but done dumber shit than this so...",anger,fear
Wait... ya think she's complicit in Saburo's murder?,neutral,neutral
Hate Night City that much?,neutral,neutral
"Oh, can you run and grab us a pizza?",neutral,neutral
"Feline ghost? Ah, suppose anything's possible.",neutral,joy
Miss home?,neutral,neutral
"You already forget what happened at Tom's Diner? People hate corps more than anything. Can't blame 'em, elther. Got some regrets, but kleppin' from Arasaka ain't one of 'em.",sadness,anger
Finally startin' to make some sense.,neutral,joy
Fuck... gettin' worse...,anger,anger
It fuckin' worked!,anger,anger
"Wait. If things go to shit, we got a backup plan?",anger,fear
"Ah, thank me once it works. Now get into position.",neutral,joy
You're glad?,neutral,neutral
You gotta be satisfied? You got fuck-all to lose!,anger,anger
Fuck! Almost fell.,anger,anger
Shit... Not good...,anger,fear
Fuck! Course you're here!,anger,anger
"You and your fuckin' sick sense of honor... Today's your lucky day, though. Can thank your old friend, Goro.",joy,anger
"I'm sorry, Oda.",sadness,sadness
Shit! Shit! Shit!,anger,fear
Yeah... for now! Lost your fuckin' mind?!,anger,anger
Now're you gonna tell me what the fuck you were thinkin’?!,anger,fear
You kidnap Hanako Arasaka and offer her a cup of fuckin' tea?!,anger,anger
I'm sorry that we have to speak under such... circumstances.,sadness,sadness
Why? My word mean shit to you?,anger,fear
"Oh, shut up, Goro! Was s'posed to be honest. Well, that's what I'm bein'! Fine, maybe I am just a two-bit thief... but I'm the two-bit thief that stole that fuckin' Relic off you. Slotted it in, took a bullet to the brain, died...",anger,fear
"Oh yeah. And now I got Johnny fuckin' Silverhand in there, and I'll do anything to get him out. So I got exactly nothin' to lose. But you got lots.",anger,fear
"Look, I know it's a lot to take in, let alone believe. Also know you're an honorable person, worthy of trust. And that's why I wanna make you an offer.",sadness,sadness
"Yeah. I stole the relic Yorinobu tried to peddle off on NetWatch. While Iw as makin' my escape, got a bullet to the brain... Relic saved me. Now the damn thing's killin' me. And I gotta stop it.",anger,anger
Oh shit...,neutral,neutral
"Yep, just two fuckin' losers. And I thought we were screwed when Goro kidnapped Hanako.",anger,anger
Shut your gonk mouth. Please. Sayin' random shit ain't gonna help anyone.,anger,fear
Any word from Goro? We split up when we went on the run.,neutral,fear
Damn shame you didn't believe me earlier. Goro might've still been alive had you.,anger,anger
"I'm sorry. I know this must be difficult for you, painful.",sadness,sadness
"Have to send a swarm of proxies to do that. This here, talkin', is because you're alone. You don't have anyone else you can turn to.",sadness,sadness
"C'mon, think about it. Yesterday Hanako was living in a world that was completely safe for her. What's she got on her hands now? A foreign city, a homicidal brother and a fuckin' thief. It's why she sent a proxy. She's alone. And she's shittin' herself more than we are.",sadness,fear
Glad you're in one piece.,joy,joy
No way of knowin' for sure. All we have's her word.,neutral,surprise
"Oh fuck off, I know what you are.",anger,fear
Seriously? Smasher? He suddenly comes to mind?,neutral,neutral
"Or some gonk ass suicide plan to attack Arasaka again. Know you pretty damn well at this point, Johnny.",anger,anger
"May not help, but he doesn't hurt me. Need to know exactly what you plan to do.",sadness,sadness
'Bout fuckin' time.,anger,anger
You don't seem surprised.,surprise,surprise
"I got flashes here an' there. Not everything, thank God.",neutral,fear
"Ugh, feel like shit.",anger,fear
"Fuck, never again.",anger,anger
Maybe wouldn't be bad if you hadn't chased 'em down with fuck knows what.,anger,fear
It's a little weird you didn't run into Smasher before now.,neutral,fear
"Nice an' easy, or I'll pop another in ya.",joy,joy
Don't want a damn thing from you.,anger,anger
Don't want a damn thing from you.,anger,anger
Looks like a spurt of runny shit.,anger,fear
Uhhh... Rogue's gone.,neutral,sadness
"What, really worried he wants to hurt himself?",neutral,neutral
"How you plan to tell him it's you? Could be dealin' with some real personal shit right now, might not be the best time to mess with his head.",anger,fear
Axe like that run us many eddies?,neutral,neutral
You outta your fuckin' mind with the pool? You knew Kerry wanted to get Denny to play with us.,anger,anger
Damn shame I had to miss it.,sadness,anger
"Get out. Nice and easy, no weirdness, nothing'll happen.",joy,joy
"It's burnin' real nice, I'll grant ya that. Thing is, I mean, what's it actually get ya?",neutral,neutral
"Don't believe for a millisec you torched that truck for art's sake. This is about money, isn't it? They screw you on the royalties?",neutral,neutral
"Somethin' tells me this isn't about Art-with-a-capital-A. Not about eds either. You're afraid, Kerry.",fear,fear
"Wait, what? I thought we took care of it.",surprise,surprise
Cool. We'll find a way in anyway.,joy,joy
"Yeah, but by that time the holoprojectors'll be on and outta whack. I'll have to recalibrate, and no way this show starts on time.",neutral,surprise
"Past life. Worked backstage for G-Hung for a time, learned some things. Finally came in handy today.",neutral,joy
"Wait, what? I thought we took care of it.",surprise,surprise
Cool. We'll find a way in anyway.,joy,joy
"Yeah, but by that time the holoprojectors'll be on and outta whack. I'll have to recalibrate, and no way this show starts on time.",neutral,surprise
"Past life. Worked backstage for G-Hung for a time, learned some things. Finally came in handy today.",neutral,joy
"Hear 'im out. This's all a misunderstanding - clear it up, and we're gone.",neutral,sadness
"Wait, wait, wait. What's this about a deal?",neutral,neutral
"OK, seems like you don't get it. Don't give a shit what you thought. There is no deal, and there will be no deal.",anger,fear
Had enough of this fuckin' around! Tell 'em the concert's off now!,anger,anger
You look great.,joy,joy
Glad we get this moment to ourselves.,joy,joy
It's time you stopped bein' afraid. You don't need to.,fear,fear
Nice axe.,neutral,joy
"Heh, chaos and destruction? Why the fuck not.",anger,anger
Whose the fuck is it?,anger,anger
"Want me to throw Yorinobu under the bus in front of Arasaka top brass? Call me crazy, but that sounds like fuckin' suicide.",anger,anger
Fuck..,neutral,neutral
“Take matters into my own hands”? The fuck you think I been doing?!,anger,anger
"Give it a fuckin' rest, Johnny. It's my decision. An' I gotta think about it.",anger,fear
Shouldn't've had to. Sorry 'bout that.,sadness,sadness
Be alone with my thoughts? Near on unachievable these days…,sadness,sadness
"You don't get it, I... I can't wait anymore.",neutral,surprise
I'm serious. Whole thing with Johnny...? I don’t do something soon I'm done. Gone.,neutral,sadness
"OK, definitely Johnny. He is one great disturbance.",joy,joy
"Hah, something that doesn't give me the chills, finally.",neutral,joy
"Can't say how long this is gonna take. Whatever happens, stay cool, all right?",neutral,neutral
"Damn shame really. You were out to prove him wrong, here, in person. But all you got is me. Think there's still some old Alt Cunningham left in you after all.",anger,anger
Sorry about the damage...,sadness,sadness
"Fuck me, Saul. Brought me to the brink of a heart attack. Do your worst.",anger,anger
"Uhh, OK... Sorry I even brought it up.",sadness,sadness
"So, not afraid of anything at this point?",fear,fear
"Mitch, not gonna be facing a ragtag band of Raffen or on exposed convoy. If we wanna get out of this op alive, they need to have their shit together.",anger,fear
"Right. Happy huntin', Mitch.",joy,joy
"Revolver, empty bottles, middle o' nowhere - perfect.",neutral,joy
"Ah, that kind.",neutral,joy
Not as much as I'm afraid for you.,fear,fear
"You got it, can you put it out? Get the fuck out if not!",anger,anger
God's honest truth. But nobody moves through the net quite like she does. She's our only way into Mikoshi proper.,neutral,fear
Fuck!,neutral,neutral
"Y'know, discovered one nice thing about becomin' Johnny Silverhand. You stop givin' the slimmest shit about Johnny Silverhand.",joy,fear
Your output don't fuck around.,anger,anger
"Jesus fuck, I'd've liked a warning at least...",anger,fear
"Wait, hold on. I wanna know what the hell happened to me. Exactly!",anger,surprise
"You backstabbin' motherfucker! You just fuckin' kicked back, dumbass grin on your face, and you waited till I finally realized you had me fucked from the start.",anger,joy
I ca-- I can't believe it. Everything. All we did - it was pointless. I've had enough of this. Of everything. You most of all.,neutral,surprise
I told you... I said I wanted you to have my body. But... but I can't do it... I'm sorry.,sadness,sadness
"Panam, after Mikoshi, everything there... I'm glad we made it... here... together. And that we're leavin’ ... together.",joy,joy
Seriously?,neutral,neutral
Just realized - already bringin’ everything I could possibly miss.,sadness,sadness
Gave us all a chance at a new start. Let's not fuck it up.,anger,anger
"Heh. Can always count on getting complimented when you're around. Seems the great outdoors and fresh air've done you a lot of good, old man. Kept you spry.",joy,joy
"Look, tunnel's cool and all, but we gotta get there first. And what about security up and down the border? Whole area's brimmin' with tech. Drones on perpetual patrol. Heavier stuff, too, maybe.",joy,joy
"Got bigger concerns then us. And even if they don't just let 'em try and catch us. They'll regret it. Great, and once we've crossed, what then?",neutral,neutral
"It's perfect - all great, Panam. We're goin' home.",joy,joy
"OK, definitely Johnny. He is one great disturbance.",joy,joy
Feel like shit. And it's gettin' worse…,anger,fear
"My testimony's worth shit here. And not as if you've got much leverage, either.",anger,fear
Fuck me dizzy...,anger,anger
Doin' this for myself alone. And not about to end up beyond a glass pane.,sadness,sadness
"Got that right, you bastard!",anger,anger
"I... Johnny, fuck no... Not now!",anger,fear
"Don't have a fuckin' choice, now, do I?",anger,anger
"He digitized his engram, made copies. In case he died.",neutral,sadness
Great idea. They can go straight to Yorinobu and ask him what happened at Konpeki Plaza. Just make sure they're armed. Your boss starts strangling people when he gets mad.,joy,joy
"Can't be nice, not anymore. We attack — full force.",joy,joy
Adam Smasher... finally done and gone.,neutral,joy
:This how you wanna help people... forget their fear? By killing them? Sorry... just don’t get it.,fear,fear
Wouldn’ta changed... a damn thing. You’re exactly like him... All you want... is power.,anger,anger
I'm-I'm hearin'... purple. What the... ?,neutral,neutral
Am... am I still V? I-I died. Twice. I...,neutral,sadness
Shit...,neutral,neutral
"Wait, what? What's the problem?",neutral,neutral
Nice to hear your voice again.,joy,joy
Fuck! No! Enough!  I've had it! Fucking hate this place!,anger,anger
Shit. It worked.,anger,fear
"Sorry, guess I'll never understand what you see in the guy.",sadness,sadness
"Y'know, the Arasakas belong in some sad old tragedy. Some Shakespeare-level shit there. Yorinobu 'specially.",sadness,fear
"Wanted out of his dad's shadow, whatever the cost. Died at the hand of his worst nightmare.",anger,sadness
This is fuckin' Arasaka! They should figure something out!,anger,anger
"Sorry, don't believe you.",sadness,sadness
Fuck.,neutral,neutral
Fuck.,neutral,neutral
Seemed pretty damn possible for Saburo Arasaka.,anger,anger
"Sorry, not buyin' it. Arasaka's out to lock me up.",sadness,sadness
Got no idea how sweet it is to be free.,neutral,joy
